"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,40.1157814348502,6.35282422054567,8.09890050053266,19.7276400054511,14.0129994674473,20.5789381891111,4.27692664907265e-05,-2.54457561684834,1,0.0370455921016046,0.00631026202332595,0.00879890674346725,0.0052906728856428,0.00164384761634055,0.00112143557218251,0.0567636603039105,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.23938336372375,0,0.9,0,0
2,45.2828354231421,6.6916259702511,8.2749691905727,18.9474320428482,13.6567897740446,19.8897729606823,3.82130617795756e-05,-2.24681895217252,1,0.0451114240756242,0.00604901404106733,0.00611807149420447,0.00446025474230873,0.00135646662623225,0.00252476284792737,0.069864888031835,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.38241070508957,0,0.9,0,0
3,52.264394679551,6.90862889726653,8.22869842081476,18.3002026645833,13.3765796157225,19.5540809252063,3.46400374028884e-05,-2.4041325351172,1,0.0447442955399113,0.00555110491014833,0.00645095970903807,0.00505401288906358,0.00135352037635197,0.00278572536083591,0.0699942048937535,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.33898434638977,0,0.9,0,0
4,53.4303035655731,7.08689313985691,8.11499394058594,18.1483820675909,13.4906938770603,19.2626013846136,3.18497505462913e-05,-2.43581747766504,0.884163508,0.0498674891391585,0.00546974557100632,0.00424786616950149,0.00486696867504743,0.00103232374391509,0.00486604468311655,0.0757058747224595,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.3297287106514,0,0.9,0,0
5,51.7138534358626,6.78719117223001,7.89582087886654,18.7788579738777,13.7923884596397,19.8035188908915,2.95257348280284e-05,-2.5677818526201,0.607671289,0.0406195086961201,0.00831824216275991,0.00392713683612051,0.0054034743653612,0.000624253204344041,0.00450244407956548,0.0725674420928525,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.2108168721199,0,0.9,0,0
6,48.4678233136602,6.12353360541767,7.70771356758187,20.5208244020466,14.1477174780151,22.1714366374546,2.7281908970758e-05,-2.80066712741087,0.446021763,0.0220039017302817,0.00724856091183036,0.00614172676158437,0.00774264716063032,0.000301298950629977,0.00258962907170853,0.06808061978195,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.09522513151169,0,0.9,0,0
7,44.6687016950734,6.09061199154992,7.66907061838036,22.47261610883,14.0800612312024,24.9774611997708,2.48143306483803e-05,-3.2538928974027,0.411451011,0.0209204884485214,0.00548946342451305,0.00311806647388032,0.00607567839390291,0.000534175499666781,0.00195813499127881,0.063741532941451,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.08217236995697,0,0.9,0,0
8,42.054268919106,6.23297881867569,7.82618735653828,23.3592805991652,13.8743621968349,26.2879665016275,2.74591892219224e-05,-3.25288891994417,0.476442673,0.025570390677801,0.00413888357538504,0.00187718531712235,0.00397119398118856,0.000635696134974,0.00144708527236341,0.0495845951702627,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.15888530015945,0,0.9,0,0
9,41.4521226593214,6.22747377946964,7.66606846189713,23.0120962770657,13.7138483197271,26.0771619085078,4.03874873341963e-05,-2.63682521607518,0.639261454,0.0259550401226277,0.00520054196837835,0.0034626094648381,0.00343538763178091,0.000697888777950895,0.000982788529465738,0.076716680274881,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.11319179534912,0,0.9,0,0
10,41.4127546339849,6.05311689945196,7.56193756766375,22.1564936134087,13.799885998735,25.2035584333968,4.94013135856315e-05,-2.85714489166,0.922987598,0.023732329120929,0.00527311036219363,0.00321822460833976,0.00332139641459661,0.000604304899225894,0.000803741670374033,0.0562827169433715,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.09313383102417,0,0.9,0,0
11,40.9223409368225,5.99527786715244,7.72601831314267,20.8590673821846,14.0102315757415,23.4162124161307,5.02291147833621e-05,-2.96626328331776,1,0.0273440790892441,0.00517840000556645,0.00654901828365517,0.003741297793991,0.000825614201830158,0.000770257508853631,0.053515323703871,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.20569360256195,0,0.9,0,0
12,38.0254031770346,6.05465045074582,7.93464518156814,20.1205689078368,14.124870916546,21.5562529350075,4.81587845103751e-05,-2.65610220773632,1,0.0357678993531855,0.00689821476362138,0.00959589313914844,0.00611456860045026,0.00170083488679477,0.000842288801003618,0.0592095374634395,0.162939944,0.162939944,0.162939944,0.0001462069,0.0001462069,0.0001462069,1.2296364068985,0,0.9,0,0
