"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0373820429487081,1.70348623879831e-08,0.0103879369336853,16.2349867564678,NA,3.24971344529466e-08,NA,0.0465720186366011
"phyt_s",NA,NA,4.30984931326805,2.46707937333722,NA,0.0584136225486958,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0690870195417453,NA,NA
"omnivzoo",NA,NA,1.63513784599831,2.12352281418651,NA,3.63864566108453e-05,NA,NA
"carnzoo",NA,NA,0.106064295646112,0.791572229171557,NA,0.000209722102867808,NA,0.00375127201903131
"fishplar",NA,NA,0.615320583734606,4.55098776195883,NA,3.41893818111672e-06,NA,NA
"fishdlar",NA,NA,0.110714873509572,4.31214981814867,NA,5.48009120432046e-07,NA,NA
"fishp",NA,NA,0.0838088882033671,1.92671597246884,NA,2.09002839871396e-05,0.00154510943788993,0.809826739021878
"fishm",NA,NA,0.0594705932633037,2.91598714696962,NA,2.16030362677731e-05,3.10578799900393e-05,0.729751040625893
"fishd",NA,NA,0.0264873692306266,0.578431099639303,NA,2.41966488083403e-05,0.00260858506367685,0.987349572323393
"benthslar",NA,NA,0.0988211344796318,1.39211212678633,NA,8.55985623543328e-06,NA,NA
"benthclar",NA,NA,0.538437117981159,2.29463948573581,NA,2.55041645714265e-07,NA,NA
"benths",NA,NA,0.368119026827118,2.22890463290749,NA,0.000214693512238703,NA,0.0265975458062729
"benthc",NA,NA,0.034653057612449,10.2415873984366,NA,0.000375271797106032,NA,0.160407233150993
"bird",NA,NA,0.629280008105085,1.23120515869575,13062.1487730015,0.038004679817193,0.00995611397317471,0.104482950935477
"seal",NA,NA,0.443348166678438,1.59063563622971,3523.26331867746,0.00477751888495616,0.00923248345848885,0.108515130100285
"ceta",NA,NA,0.46662116631816,0.562772668810884,1626.39429426891,0.00109951546391287,0.0096607540171632,0.316811632735914
