"Value","Description"
2.03182372370594e-05,"water_column_detritus_mineralisation_rate"
1.27272559818263e-07,"upper_layer_water_column_nitrification_rate"
2.65419605203856e-09,"upper_layer_water_column_denitrification_rate"
0.0339071593512642,"lower_layer_water_column_nitrification_rate"
4.66740853024846e-07,"lower_layer_water_column_denitrification_rate"
0.497620907037313,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.4"
0.000158567985206888,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0281336842358636,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0132191048906287,"sediment_detritus_mineralisation_rate"
-1.69666594529022e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.16304341272691e-05,"sediment_detritus_nitrification_rate"
-2.30429386260134e-06,"grain_size_sensitivity_for_sediment_detritus_nitrification_rate"
0.570001805664136,"sediment_detritus_denitrification_rate"
1.59810091757516e-07,"grain_size_sensitivity_for_sediment_detritus_denitrification_rate"
0.0195525957978299,"conversion_rate_of_discards_to_corpses"
0.215357577777479,"conversion_rate_of_corpses_to_sediment_detritus"
0.0249479923990507,"conversion_rate_of_kelp_debris_to_detritus"
0.116054865998197,"detritus_sinking_rate_in_the_upper_layers"
3.54002113691214e-06,"detritus_sinking_rate_in_the_lower_layer"
5.08452093874245e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00165587059824788,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.03129845933782,"fitting_parameter_for_undersize_demersal_fish_function"
