Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source
7759.141,2327.7423,1,Obs_TAPP,mMN/m2/y,Annual_total_primary_production,Senegal-Gambia,2010-2019,Copernicus_remote_sensing_data_from_OCEANCOLOUR_GLO_BGC_L4_MY_009_104
NA,NA,0,Obs_NP,mMN/m2/y,Annual_new_production_from_depth_integrated_nitrate_plus_summer_river_and_atmos_inputs,Senegal-Gambia,NA,Insufficient_data
6300,4725,1,Obs_KelpP,gC/m2/y,Annual_WITHIN_FOREST_NET_production_of_macrophytes,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
1514.760271,1136.070204,1,Obs_OmnizooP,mMN/m2/y,Annual_ominiv_zooplankton_gross_production,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
NA,NA,0,Obs_CarnzooP,mMN/m2/y,Annual_carnivorous_zooplankton_gross_production,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
89.46793358,67.10095019,1,Obs_PFishP,mMN/m2/y,Annual_planktivorous_fish_gross_production,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
7.78608742,15.57217484,1,Obs_DFishP,mMN/m2/y,Annual_demersal_fish_gross_production,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
39.44654087,29.58490566,0,Obs_BensuspP,mMN/m2/y,Annual_susp/dep_benthos_gross_production,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
112.3018868,84.22641508,1,Obs_BencarnP,mMN/m2/y,Annual_carn/scan_benthos_gross_production,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0.035622642,0.026716981,1,Obs_birdP,mMN/m2/y,Annual_net_production_of_birds,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
NA,NA,0,Obs_sealP,mMN/m2/y,Annual_net_production_of_pinnipeds,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0.004611321,0.003458491,1,Obs_cetaP,mMN/m2/y,Annual_net_production_of_cetaceans,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
NA,NA,0,Obs_maxbenthslar,mMN/m3,Annual_monthly_max_conc_of_benthos_susp/dep_larvae,Senegal-Gambia,NA,Insufficient_data
NA,NA,0,Obs_maxbenthclar,mMN/m3,Annual_monthly_max_conc_of_benthos_carn/scav_larvae,Senegal-Gambia,NA,Insufficient_data
34.57909991,25.93432494,1,Obs_Conpfishfish,mMN/m2/y,Annual_consumption_of_planktivorous_fish_by_fish,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0.253994113,0.190495585,0,Obs_Condfishfish,mMN/m2/y,Annual_consumption_of_demersal_fish_by_fish,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
861.4386214,646.0789661,1,Obs_Conzoofish,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_fish_and_fish_larvae,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
NA,NA,0,Obs_Conzoocarnz,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_carn_zooplankton,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
4.963589433,3.722692075,0,Obs_Conbenfish,mMN/m2/y,Annual_consumption_of_benthos_by_fish,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
35.02893081,26.27169811,1,Obs_Contotal_bird,mMN/m2/y,Annual_food_consumption_by_birds,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
1,0.75,1,Obs_Proppfishbird,dimensionless,Proportion_planktivorous_fish_in_diet_of_birds,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0,0,0,Obs_Propdfishbird,dimensionless,Proportion_demersal_fish_in_diet_of_birds,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0,0,0,Obs_Propmfishbird,dimensionless,Proportion_migratory_fish_in_diet_of_birds,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0,0,0,Obs_Propdiscbird,dimensionless,Proportion_discards_in_diet_of_birds,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
NA,NA,0,Obs_Contotal_seal,mMN/m2/y,Annual_food_consumption_by_pinnipeds,Senegal-Gambia,NA,No pinnipeds in Senegal
NA,NA,0,Obs_Proppfishseal,dimensionless,Proportion_planktivorous_fish_in_diet_of_pinnipeds,Senegal-Gambia,NA,No pinnipeds in Senegal
NA,NA,0,Obs_Propdfishseal,dimensionless,Proportion_demersal_fish_in_diet_of_pinnipeds,Senegal-Gambia,NA,No pinnipeds in Senegal
NA,NA,0,Obs_Propmfishseal,dimensionless,Proportion_migratory_fish_in_diet_of_pinnipeds,Senegal-Gambia,NA,No pinnipeds in Senegal
1.693924528,1.270443396,1,Obs_Contotal_ceta,mMN/m2/y,Annual_food_consumption_by_cetaceans,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0.4,0.3,1,Obs_Proppfishceta,dimensionless,Proportion_planktivorous_fish_in_diet_of_cetaceans,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0.05,0.0375,1,Obs_Propdfishceta,dimensionless,Proportion_demersal_fish_in_diet_of_cetaceans,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0,0,0,Obs_Propmfishceta,dimensionless,Proportion_migratory_fish_in_diet_of_cetaceans,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
14.40050139,4.320150416,1,Obs_Pland_livewt,mMN/m2/y,Annual_planktivorous_fish_landings_(live_weight),Senegal-Gambia,2010-2019,Analysis_of_Seas_Around_Us_data
14.31175231,4.293525693,1,Obs_Dland_livewt,mMN/m2/y,Annual_demersal_fish_landings_(live_weight),Senegal-Gambia,2010-2019,Analysis_of_Seas_Around_Us_data
3.456669728,1.037000918,1,Obs_Mland_livewt,mMN/m2/y,Annual_migratory_fish_landings_(live_weight),Senegal-Gambia,2010-2019,Analysis_of_Seas_Around_Us_data
0.31468074,0.094404222,1,Obs_Bsland_livewt,mMN/m2/y,Annual_susp/dep_benthos_landings_(live_weight),Senegal-Gambia,2010-2019,Analysis_of_Seas_Around_Us_data
0.257867686,0.077360306,1,Obs_Bcland_livewt,mMN/m2/y,Annual_carn/scav_benthos_landings_(live_weight),Senegal-Gambia,2010-2019,Analysis_of_Seas_Around_Us_data
0.581446119,0.174433836,1,Obs_Zcland_livewt,mMN/m2/y,Annual_carn_zooplankton_landings_(live_weight),Senegal-Gambia,2010-2019,Analysis_of_Seas_Around_Us_data
0,0,0,Obs_Kland_livewt,mMN/m2/y,Annual_macrophyte_landings_(live_weight),Senegal-Gambia,2010-2019,Analysis_of_Seas_Around_Us_data
15,11.25,1,Obs_kelp_pb,/y,Annual_CARBON_gross_PB_ratio_of_macrophytes,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
10,7.5,1,Obs_benslar_pb,/y,Annual_gross_PB_ratio_larvae_of_susp/dep_benthos,General_value,NA,Mackinson_and_Daskalov_2007
10,7.5,1,Obs_benclar_pb,/y,Annual_gross_PB_ratio_larvae_of_carn/scav_benthos,General_value,NA,Mackinson_and_Daskalov_2007
4,4,1,Obs_bens_pb,/y,Annual_gross_PB_ratio_susp/dep_feeding_benthos,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
1.2,0.9,1,Obs_benc_pb,/y,Annual_gross_PB_ratio_carn/scav_feeding_benthos,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
58.356,43.767,1,Obs_omni_pb,/y,Annual_gross_PB_ratio_omniv_zooplankton,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
1.9,1.425,1,Obs_carn_pb,/y,Annual_gross_PB_ratio_carniv_zooplankton,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
4,3,1,Obs_fishplar_pb,/y,Annual_gross_PB_ratio_larvae_of_planktivorous_fish,General_value,NA,Mackinson_and_Daskalov_2007
4,3,1,Obs_fishdlar_pb,/y,Annual_gross_PB_ratio_larvae_of_demersal_fish,General_value,NA,Mackinson_and_Daskalov_2007
1.245689156,0.934266867,1,Obs_fishp_pb,/y,Annual_gross_PB_ratio_planktivorous_fish,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
1.178825029,0.884118772,1,Obs_fishd_pb,/y,Annual_gross_PB_ratio_demersal_fish,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
1.174217311,0.880662983,1,Obs_fishm_pb,/y,Annual_gross_PB_ratio_migratory_fish,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0.12,0.09,1,Obs_bird_pb,/y,Annual_net_PB_ratio_birds,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
NA,NA,0,Obs_seal_pb,/y,Annual_net_PB_ratio_pinnipeds,Senegal-Gambia,NA,No pinnipeds in Senegal
0.047,0.03525,1,Obs_ceta_pb,/y,Annual_net_PB_ratio_cetaceans,Senegal-Gambia,1990,Samb_and_Mendy_2004_Fisheries_Centre_Research_Reports_12(7)
0.3,0.225,1,Obs_exud_C_kelp,dimensionless,Annual_average_proportion_of_macrophyte_C_uptake_which_is_exuded,General_value,NA,Abdullah_and_Fredriksen_2004
