"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0302475241307354,1.88469860092769e-08,0.00999732615657092,15.3554823958492,NA,3.24939752535627e-08,NA,0.0466763682806747
"phyt_s",NA,NA,4.04204625694472,2.31859317748004,NA,0.0584131199232653,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0690909383570094,NA,NA
"omnivzoo",NA,NA,1.60269487867912,2.37274374313699,NA,3.6387586257406e-05,NA,NA
"carnzoo",NA,NA,0.119378805571491,0.934178392594602,NA,0.000209707554162282,NA,0.00374867265307004
"fishplar",NA,NA,0.520428518617947,4.79336938994864,NA,3.41901197561592e-06,NA,NA
"fishdlar",NA,NA,0.111389597494385,4.13311584603917,NA,5.47956080164225e-07,NA,NA
"fishp",NA,NA,0.088574123568012,1.96220790828982,NA,2.09001988914329e-05,0.00155236651866786,0.810670552907487
"fishm",NA,NA,0.0600766027404482,2.65022419956658,NA,2.16026095600446e-05,3.09760257892317e-05,0.728037302790257
"fishd",NA,NA,0.0259003735817154,0.562014623362216,NA,2.41978708618538e-05,0.00260802279195292,0.986671115737862
"benthslar",NA,NA,0.117001503860727,1.32778155930851,NA,8.55955266404256e-06,NA,NA
"benthclar",NA,NA,0.631644704339622,2.10967969457361,NA,2.55012079265164e-07,NA,NA
"benths",NA,NA,0.375564854328677,2.22045827131662,NA,0.000214717321327612,NA,0.0265704257777276
"benthc",NA,NA,0.0334906572560139,9.9800524783173,NA,0.000375237391619047,NA,0.160164970056026
"bird",NA,NA,0.629280008105085,1.23120515869575,13062.1487730015,0.038004679817193,0.00995735701724586,0.104615799497566
"seal",NA,NA,0.443348166678438,1.59063563622971,3523.26331867746,0.00477751888495616,0.0092471368569727,0.108542238808718
"ceta",NA,NA,0.46662116631816,0.562772668810884,1626.39429426891,0.00109951546391287,0.00963967960383688,0.316591892103559
