"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.287796064383522,0.220229722350386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.712203935616478,0.779770277649614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000563060581328225,NA,NA,NA,NA,NA,NA,0.963278857440547,0.144625797899019,0.172146085085022,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67160317696383,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00773184723165583,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0111089156785632,NA,NA,NA,0.51785313097636,0.0817125803015586,0.0643940434228441,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0688277175826309,NA,NA,NA,NA,0.219466791951153,0.0842125794450725,0.138916733609239
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0108306154998814,NA,NA,NA
"phyt",NA,NA,0.914031722721448,NA,NA,NA,NA,NA,NA,0.036721142559453,0.855374202100981,0.156250737951149,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.470089485641659,0.135476725237392,0.943938895724386,0.420010423392187,0.386763746655536,NA,NA,NA,NA,NA,NA,NA,0.0101872333097297
"carnzoo",NA,NA,NA,NA,NA,NA,0.0756138953724022,0.0156910311603902,0.0691157596543177,NA,NA,NA,NA,0.115888541269912,0,0.0154580033189715
"fishplar",NA,NA,NA,0.0203562838756307,NA,NA,0.228735298002878,0.0580729339081973,0.154632833653519,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0573922111251121,NA,NA,0.107655044064317,0.039527254723124,0.100918735860606,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.202571249670212,NA,NA,NA,NA,0.241364362187038,0.238985494919984,0.233033110968712
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0169288702326677,NA,NA,NA,NA,0.178239892652369,0.0573622080125029,0.429137947107536
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00647530413744502,NA,NA,NA,NA,0.16332783163797,0.555045674199597,0.168726048351344
"benthslar",NA,NA,0.00147693681140002,0.290880345137802,0.557076327654775,0.0415233853792414,0.0823999782613775,0.299326438079441,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0839282798858239,0.161281674219796,0.307446947107833,0.0145377188963723,0.0855853609068378,0.200618595473311,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.28470455793938,NA,NA,NA,0.463584406292102,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0847160555906579,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00454092333446778
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
