Gear_name,Gear_code,Habitat_s0,Habitat_s1,Habitat_s2,Habitat_s3,Habitat_d0,Habitat_d1,Habitat_d2,Habitat_d3,Habitat_DO
Small_scale_gill_encircle_nets,SSEN,0.012763813,0.047228052,0.209233853,0.419175824,0.00160164,0.160939333,0.14157007,0.007487415,0
Small_scale_line_fishing,SSLF,0.012763813,0.047228052,0.209233853,0.419175824,0.00160164,0.160939333,0.14157007,0.007487415,0
Small_scale_seine_nets,SSSN,0.012763813,0.047228052,0.209233853,0.419175824,0.00160164,0.160939333,0.14157007,0.007487415,0
Small_scale_inshore_gears,SSIG,0.060187694,0.023299982,0.399753463,0.51675886,0,0,0,0,0
SenGam_bottom_trawlers,SenBT,0.004314702,0.051491114,0.17529059,0.401790282,0.001886991,0.189612529,0.166792408,0.008821384,0
Foreign_bottom_trawlers,ForBT,0.004314702,0.051491114,0.17529059,0.401790282,0.001886991,0.189612529,0.166792408,0.008821384,0
SenGam_pole_and_line,SGPL,0.004314702,0.051491114,0.17529059,0.401790282,0.001886991,0.189612529,0.166792408,0.008821384,0
Foreign_pole_and_line,ForPL,0.004314702,0.051491114,0.17529059,0.401790282,0.001886991,0.189612529,0.166792408,0.008821384,0
SenGam_pelagic_trawl_seine,SGPTS,0.004314702,0.051491114,0.17529059,0.401790282,0.001886991,0.189612529,0.166792408,0.008821384,0
Foreign_pelagic_trawl_seine,ForPTS,0.004314702,0.051491114,0.17529059,0.401790282,0.001886991,0.189612529,0.166792408,0.008821384,0
SenGam_longline_gillnet,SGLLGN,0.004314702,0.051491114,0.17529059,0.401790282,0.001886991,0.189612529,0.166792408,0.008821384,0
Foreign_longline_gillnet,ForLLGN,0.004314702,0.051491114,0.17529059,0.401790282,0.001886991,0.189612529,0.166792408,0.008821384,0
