"Gear_name","Gear_code","Habitat_s0","Habitat_s1","Habitat_s2","Habitat_s3","Habitat_d0","Habitat_d1","Habitat_d2","Habitat_d3","Habitat_DO"
"midwater trawl","MWT",0,0,0,0,0.162824748462498,0,0.837175251537502,0,0
"nets including small scale","NTS",0.169728191398636,0.477827086327495,0.352444722273868,0,0,0,0,0,0
"pole and line","TPL",0.00718498723515238,0.00275317003445921,0.127636860190367,0,0.0575253622256904,0.0440847082727111,0.76081491204162,0,0
"squid jig","SJ",0.000511649120398146,0,0.650558943983033,0.0118709739955293,0,0.00976202435584339,0.282395102326539,0.0449013062186579,0
"longline","LL",0,0,0.00329185236291523,0,0.112578442358522,0.0211981252987897,0.846100905499606,0.0168306744801666,0
"purse seine","PS",0.0213786215306175,0.115689520932652,0.423439121233319,0.000772395399066418,0,0.139160356012019,0.299087377942014,0.000472606950312268,0
"demersal trawl","DMT",0.000182024142379391,0.0515974386287928,0.0661800601501943,4.53789190958561e-05,0.0613374938419433,0.0482212389691657,0.769140799404511,0.00329556594391789,0
"WC Rock Lobster traps","WCRLT",0.0505851714939808,0,0,0,0.949414828506019,0,0,0,0
"recreational fishing gear","RFG",0.0307413115318382,0.0957020609030066,0.497327574178397,0.00294553220271077,0.00491236378361977,0.044748099362455,0.318648708724638,0.00497434931333456,0
"small scale lines","SSL",0.0304776058237146,0.0957915038558816,0.497130806857402,0.00294843703163855,0.00491720826517366,0.0447922291035495,0.318962954138778,0.00497925492386191,0
"subsistence fishing gear","SBF",0.291509346218314,0.00503545134394518,0.299258329590833,0.0123256677392842,0,0.0988277439531603,0.293043461154464,0,0
NA,NA,0,0,0,0,0,0,0,0,0
