"Gear_id","Gear_name","Gear_code","Gear_to_which_linked","Linkage_coefficient","Comments"
1,"midwater trawl","MWT",NA,NA,"Independent_of_other_gears"
2,"nets including small scale","NTS",NA,NA,"Independent_of_other_gears"
3,"pole and line","TPL",NA,NA,"Independent_of_other_gears"
4,"squid jig","SJ",NA,NA,"Independent_of_other_gears"
5,"longline","LL",NA,NA,"Independent_of_other_gears"
6,"purse seine","PS",NA,NA,"Independent_of_other_gears"
7,"demersal trawl","DMT",NA,NA,"Independent_of_other_gears"
8,"WC Rock Lobster traps","WCRLT",NA,NA,"Independent_of_other_gears"
9,"recreational fishing gear","RFG",NA,NA,"Independent_of_other_gears"
10,"small scale lines","SSL",NA,NA,"Independent_of_other_gears"
11,"subsistence fishing gear","SBF",NA,NA,"Independent_of_other_gears"
12,NA,NA,NA,NA,"Independent_of_other_gears"
