"Value","Description"
270,"Planktivorous_fish_spawning_start_day"
90,"Planktivorous_fish_spawning_duration_(days)"
90,"Planktivorous_fish_recruitment_start_day"
90,"Planktivorous_fish_recruitment_duration_(days)"
180,"Demersal_fish_spawning_start_day"
90,"Demersal_fish_spawning_duration_(days)"
330,"Demersal_fish_recruitment_start_day"
90,"Demersal_fish_recruitment_duration_(days)"
300,"Susp/dep_benthos_spawning_start_day"
60,"Susp/dep_benthos_spawning_duration_(days)"
30,"Susp/dep_benthos_recruitment_start_day"
90,"Susp/dep_benthos_recruitment_duration_(days)"
270,"Carn/scav_benthos_spawning_start_day"
60,"Carn/scav_benthos_spawning_duration_(days)"
1,"Carn/scav_benthos_recruitment_start_day"
360,"Carn/scav_benthos_recruitment_duration_(days)"
1,"Migratory_fish_switch_(0=off_1=on)"
5214177.4831861,"Migratory_fish_ocean_biomass_(Tonnes_wet_weight)"
0.184,"Migratory_fish_carbon_to_wet_weight_(g/g)"
184952.309862857,"Model_domain_sea_surface_area_(km2)"
0.1,"Propn_of_ocean_population_entering_model_domain_each_year"
301,"Immigration_start_day"
330,"Immigration_end_day"
0.0714285714285714,"Propn_of_peak_popn_in_model_domain_which_remains_and_does_not_emigrate"
60,"Emigration_start_day"
90,"Emigration_end_day"
