"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0427662532501283,1.72528356096641e-08,0.00950473730716885,17.1346784787302,NA,3.10093988186114e-08,NA,0.0465757085149765
"phyt_s",NA,NA,9.24947365251318,1.80840914540234,NA,0.0331706400192339,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0697110803865748,NA,NA
"omnivzoo",NA,NA,1.42524790535558,2.62889521040566,NA,2.93499774806849e-05,NA,NA
"carnzoo",NA,NA,0.0736653523298944,0.799836364185202,NA,0.000188939982341389,NA,0.00377284811499861
"fishplar",NA,NA,0.616325212499904,4.53925240290569,NA,3.63657632164536e-06,NA,NA
"fishdlar",NA,NA,0.0967350326814261,5.0098453240845,NA,6.19958319371651e-07,NA,NA
"fishp",NA,NA,0.00956335896365433,2.03517704984128,NA,8.35648628143155e-05,0.00154263282556787,0.807771673537288
"fishm",NA,NA,0.0523645053353679,3.19365069162631,NA,2.25328751633968e-05,3.10451137748323e-05,0.730473505443734
"fishd",NA,NA,0.022007825339614,0.518736235324361,NA,1.34384869943207e-05,0.00261784594111858,0.982241436021631
"benthslar",NA,NA,0.200791962013946,1.56870924036545,NA,1.01641155838607e-05,NA,NA
"benthclar",NA,NA,0.600909792110598,2.51589372121852,NA,2.79460682018003e-07,NA,NA
"benths",NA,NA,0.256997251364766,2.92021662467219,NA,0.000276864283110438,NA,0.0265128506654623
"benthc",NA,NA,0.0283690752645163,10.5845396227116,NA,0.000449291464384023,NA,0.16101414236136
"bird",NA,NA,5.6,1.231205159,13062.14877,0.035,0.00992277719716331,0.104420694232758
"seal",NA,NA,2.216740835,1.590635636,3523.263319,0.004777519,0.00918528512309449,0.108324111780348
"ceta",NA,NA,1.399863498,0.562772669,1626.394294,0.001099515,0.00960857036309438,0.317902586305487
