"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,2.61437627053107,0.395819536814595,0.771865096741482,0.694045860437901,20.7562255629862,0.12830080360366,0.00664003899000494,0.138881989211024,6.69808399007675,0.474476562909618,0.603251676224153,0.653362393252689,62.4533713466602,6.93926348296224,0,0.00760847308848929,0.00400970245213656,0.00874412397334721,0.00472897733454399,0,0,0,0,0,0,0
2,3.12443641445073,0.398076918377143,0.780608814317347,0.658057776759206,21.0049851777585,0.123930507514982,0.00437695577331189,0.134044406139378,7.8945023054511,0.466466555643527,0.527689301215417,0.633561343169464,73.1726751214747,8.13029723571941,0,0.00974175877515869,0.00514053632859154,0.0113272461029232,0.00614840385338906,0,0,0,0,0,0,0
3,4.04759543992382,0.391649792946746,0.700199703514287,0.56042524743171,20.3608658498372,0.125658648058402,0.00328163053036127,0.131915428882066,9.60928201334757,0.432848634057277,0.429329202679759,0.504767211569695,80.1180651963456,8.9020072440384,0,0.00948042829825719,0.00578898143598355,0.0103066582018123,0.00657357762606325,0,0,0,0,0,0,0
4,4.73076935561417,0.40379384446543,0.676956775906819,0.501671961639045,21.0552220014407,0.135814353823782,0.00333864056518215,0.142800726822904,10.6841741913636,0.426441494723899,0.385766504657384,0.378031185038822,587.826742779346,65.3140825310384,0,0.0103545849144991,0.00608584477699229,0.0112576809312616,0.00693026891288658,0,0,0,0,0,0,0
5,5.24556792713187,0.415210249825276,0.627347922423564,0.403785428211509,20.9486102826224,0.144116655914206,0.00724487803874174,0.137589782757908,13.6454873054098,0.423399678204723,0.363859322331449,0.277170403321462,682.984984697512,75.8872205219457,0,0.00836834405905091,0.00745556665979291,0.00878216941252969,0.0078876445408962,0,0,0,0,0,0,0
6,4.9405843136521,0.382661298716689,0.483729247465041,0.248305807239109,21.1098929465861,0.14734109932513,0.0151966290733189,0.10566580240129,10.9831486139645,0.35759556322342,0.217699438936748,0.134204561189616,237.398460226693,26.3776066918548,0,0.00601796072996443,0.00653170038103348,0.00634429064424088,0.00710535772322189,0,0,0,0,0,0,0
7,5.29463547513592,0.354853489089915,0.387846637407176,0.163218009366012,20.1988072923615,0.145226535317254,0.0203316105076737,0.0731307415469963,10.3830179497478,0.354907599407461,0.237447718230068,0.115345656276518,354.376304324354,39.3751449249282,0,0.00640332343674819,0.00700308117277337,0.00641380202278392,0.00750330552536016,0,0,0,0,0,0,0
8,5.30491130072236,0.357409084556817,0.486237470879705,0.134905036962741,19.8179892948719,0.14682603707325,0.026567522927422,0.0565104796349043,8.13468444645367,0.423688950228751,0.694223708894263,0.123814632002003,442.560990541021,49.1734433934467,0,0.00732635606020208,0.00621485480961437,0.00739491036084528,0.00665013824293416,0,0,0,0,0,0,0
9,5.02142363732825,0.40486362610102,0.76779663871968,0.206819181130624,20.417617387394,0.148685225037069,0.035471658840862,0.0566552562727469,6.51963578226211,0.499180076762275,0.865534250198661,0.328451239169793,454.88352348128,50.5426137201422,0,0.00691223058051297,0.00543695273033033,0.006831403644312,0.00571772727804879,0,0,0,0,0,0,0
10,3.48626995756447,0.445273604031722,1.02332000606746,0.441175442729474,20.7112153264972,0.141434445201512,0.0237305522787266,0.0772079037231129,6.27590160416322,0.490206028118565,0.727785805964655,0.406178467580884,257.250102406625,28.5833447118472,0,0.00662424865560735,0.00464913699763059,0.00678283722496115,0.00493874025535405,0,0,0,0,0,0,0
11,2.91372550313448,0.431137746602763,0.917315909122882,0.620887076135674,20.5986724272324,0.132429601888235,0.0108525788835324,0.104454598253402,6.30736332342685,0.483320716357039,0.651447493949141,0.533940067171207,136.901313277952,15.2112570308836,0,0.00747021947366496,0.00439098287772919,0.00769500116196771,0.00472094980068505,0,0,0,0,0,0,0
12,2.32825746477108,0.388039013052738,0.825272867340713,0.67646415100979,20.3892326324982,0.12616006769987,0.00873190613294361,0.119319821501876,6.28097723051308,0.473316371557466,0.6204105818946,0.628703397784449,105.478871642218,11.7198746269131,0,0.00863145545451185,0.00439029007781005,0.00965214154172328,0.00504874436545276,0,0,0,0,0,0,0
