"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.252867057753752,0.203969239789411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.747132942246248,0.796030760210589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000728841505573551,NA,NA,NA,NA,NA,NA,0.97293565239068,0.156731443892315,0.0491240944374566,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847812331313223,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0093424389886444,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0119005400613616,NA,NA,NA,0.504794228761,0.0817125803015586,0.0643940434228441,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0735730596315775,NA,NA,NA,NA,0.219466791951153,0.0842125794450725,0.138916733609239
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0150407556213188,NA,NA,NA
"phyt",NA,NA,0.931184779964605,NA,NA,NA,NA,NA,NA,0.0270643476093205,0.843268556107685,0.103063574249321,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.440667997314887,0.12191912443059,0.949609654587393,0.438404788943172,0.378096384717978,NA,NA,NA,NA,NA,NA,NA,0.0101872333097297
"carnzoo",NA,NA,NA,NA,NA,NA,0.0693302552316047,0.0173862927690449,0.0874566313186063,NA,NA,NA,NA,0.115888541269912,0,0.0154580033189715
"fishplar",NA,NA,NA,0.0250254776912324,NA,NA,0.233958439453277,0.0808347029123521,0.112064731832257,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.058630637547416,NA,NA,0.0942532580332703,0.0417739904344206,0.120007582373706,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.206319456792909,NA,NA,NA,NA,0.241364362187038,0.238985494919984,0.233033110968712
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0174745507896878,NA,NA,NA,NA,0.178239892652369,0.0573622080125029,0.429137947107536
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.0071590590706216,NA,NA,NA,NA,0.16332783163797,0.555045674199597,0.168726048351344
"benthslar",NA,NA,0.00141026769165366,0.30325911339108,0.59036645143603,0.0385859903691981,0.0650953979048093,0.275365369224576,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0666761108381681,0.172416774055384,0.28771442413338,0.0118043550434093,0.0989578604338676,0.206543259941629,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.292101475068252,NA,NA,NA,0.470822576629037,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0719429130610213,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00454092333446778
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
