"Value","Description"
2.03095239422089e-05,"water_column_detritus_mineralisation_rate"
1.2704208104687e-07,"upper_layer_water_column_nitrification_rate"
2.66796987462957e-09,"upper_layer_water_column_denitrification_rate"
0.0338813152874983,"lower_layer_water_column_nitrification_rate"
4.63268382412064e-07,"lower_layer_water_column_denitrification_rate"
0.495744149492955,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.4"
0.000158039811684317,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0281194341647469,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0131491352751925,"sediment_detritus_mineralisation_rate"
-1.70232880687152e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.15151059747618e-05,"sediment_detritus_nitrification_rate"
-2.31990873244461e-06,"grain_size_sensitivity_for_sediment_detritus_nitrification_rate"
0.570146229227397,"sediment_detritus_denitrification_rate"
1.59909970138768e-07,"grain_size_sensitivity_for_sediment_detritus_denitrification_rate"
0.0194062513841432,"conversion_rate_of_discards_to_corpses"
0.215454881568551,"conversion_rate_of_corpses_to_sediment_detritus"
0.0249017146534826,"conversion_rate_of_kelp_debris_to_detritus"
0.116426945674963,"detritus_sinking_rate_in_the_upper_layers"
3.53190594109339e-06,"detritus_sinking_rate_in_the_lower_layer"
5.08521212941619e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00166174615428501,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.03440138556732,"fitting_parameter_for_undersize_demersal_fish_function"
