"Value","Description"
1.57164128063043e-05,"water_column_detritus_mineralisation_rate"
1.22009366728201e-07,"upper_layer_water_column_nitrification_rate"
2.17390113429604e-09,"upper_layer_water_column_denitrification_rate"
0.0273757366400941,"lower_layer_water_column_nitrification_rate"
5.11965225644011e-07,"lower_layer_water_column_denitrification_rate"
0.499304698850383,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
0.000157610030906394,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0273865447890534,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0128342962078699,"sediment_detritus_mineralisation_rate"
-1.70232679534504e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.51822345557756e-05,"sediment_nitrification_rate"
-3.43258649927879e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.148875896338904,"sediment_denitrification_rate"
1.39838832417979e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.019440877625826,"conversion_rate_of_discards_to_corpses"
0.235727047162997,"conversion_rate_of_corpses_to_sediment_detritus"
0.0271830169705925,"conversion_rate_of_kelp_debris_to_detritus"
0.0955541485186547,"detritus_sinking_rate_in_the_upper_layers"
3.36816130840358e-06,"detritus_sinking_rate_in_the_lower_layer"
4.8903682931746e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00151769830814029,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.18093239636308,"fitting_parameter_for_undersize_demersal_fish_function"
