"Gear_name","Gear_code","Propgutted_PF","Propgutted_DF","Propgutted_MF","Propgutted_FDB","Propgutted_CSB","Propgutted_CZ","Propgutted_BD","Propgutted_SL","Propgutted_CT","Propgutted_KP"
"midwater trawl","MWT",0,0,0,0,0,0,0,0,0,0
"nets including small scale","NTS",0,0,0,0,0,0,0,0,0,0
"pole and line","TPL",0,0,1,0,0,0,0,0,0,0
"squid jig","SJ",0,0,0,0,0,0,0,0,0,0
"longline","LL",0,0,1,0,0,0,0,0,0,0
"purse seine","PS",0,0,0,0,0,0,0,0,0,0
"demersal trawl","DMT",0,0.9,0,0,0,0,0,0,0,0
"WC Rock Lobster traps","WCRLT",0,0,0,0,0,0,0,0,0,0
"recreational fishing gear","RFG",0,0,0,0,0,0,0,0,0,0
"small scale lines","SSL",0,0,0,0,0,0,0,0,0,0
"subsistence fishing gear","SBF",0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
