"Value","Description"
2.03042030876022e-05,"water_column_detritus_mineralisation_rate"
1.26937831877778e-07,"upper_layer_water_column_nitrification_rate"
2.67198145324733e-09,"upper_layer_water_column_denitrification_rate"
0.0339434850804476,"lower_layer_water_column_nitrification_rate"
4.62384124664889e-07,"lower_layer_water_column_denitrification_rate"
0.495074050086364,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.4"
0.000158245921500683,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0281721008925159,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0131566162428973,"sediment_detritus_mineralisation_rate"
-1.70129885284254e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.16334130019919e-05,"sediment_detritus_nitrification_rate"
-2.31748124879716e-06,"grain_size_sensitivity_for_sediment_detritus_nitrification_rate"
0.570137094346196,"sediment_detritus_denitrification_rate"
1.59622221475274e-07,"grain_size_sensitivity_for_sediment_detritus_denitrification_rate"
0.0193803859945502,"conversion_rate_of_discards_to_corpses"
0.215837950219506,"conversion_rate_of_corpses_to_sediment_detritus"
0.0248705874074884,"conversion_rate_of_kelp_debris_to_detritus"
0.116586012836316,"detritus_sinking_rate_in_the_upper_layers"
3.52860641266268e-06,"detritus_sinking_rate_in_the_lower_layer"
5.08774241116253e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00166370508503536,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.03348755278367,"fitting_parameter_for_undersize_demersal_fish_function"
