"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.236379832326508,0.203924559126635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.763620167673492,0.796075440873364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000660833155793744,NA,NA,NA,NA,NA,NA,0.971263568406301,0.16100397696599,0.0558210640458911,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841096380740195,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00891244503129295,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0108924017427433,NA,NA,NA,0.515335231283708,0.0817125803015586,0.0643940434228441,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0757589057909454,NA,NA,NA,NA,0.219466791951153,0.0842125794450725,0.138916733609239
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015017664298725,NA,NA,NA
"phyt",NA,NA,0.939093841957482,NA,NA,NA,NA,NA,NA,0.028736431593699,0.83899602303401,0.103082555213914,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.423416098142115,0.125008783587969,0.948389747458138,0.430434835204888,0.396708667532845,NA,NA,NA,NA,NA,NA,NA,0.0101872333097297
"carnzoo",NA,NA,NA,NA,NA,NA,0.0762746501816636,0.0163970064691357,0.0957489706537512,NA,NA,NA,NA,0.115888541269912,0,0.0154580033189715
"fishplar",NA,NA,NA,0.0247359119601221,NA,NA,0.235046999276265,0.0764094530150792,0.116792653230513,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0578523814811922,NA,NA,0.0859633136497892,0.0416177075987164,0.111725353744389,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.177311493117943,NA,NA,NA,NA,0.241364362187038,0.238985494919984,0.233033110968712
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0174002234289418,NA,NA,NA,NA,0.178239892652369,0.0573622080125029,0.429137947107536
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00621661947947769,NA,NA,NA,NA,0.16332783163797,0.555045674199597,0.168726048351344
"benthslar",NA,NA,0.00138631125764741,0.330513234731794,0.558502702405591,0.0411009280792414,0.0622539205423827,0.264543375132486,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0588590136290771,0.163482373684777,0.316488514006441,0.0105093244626209,0.110026281145012,0.204323790251738,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.313167986764783,NA,NA,NA,0.460734659386274,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0749853920465122,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00454092333446778
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
