Value,Description
0.16,parameter_a_in_Pdemersal_catch_NONQUOTA=a*exp(-b*(1stJan_demersal_biomass)))_set_to_0_and_all_demfish_treated_as_quota_limited
0.07,parameter_b_in_Pdemersal_catch_NONQUOTA=a* exp(-b*(1stJan_demersal_biomass)))
0.67,parameter_a_in_Pundersize_NONQUOTA = a*exp(-b*1stJan_demersal_biomass))
0.02,parameter_b_in_Pundersize_NONQUOTA = a*exp(-b*1stJan_demersal_biomass))
0.4,parameter_a_in_Pundersize_QUOTA = a*exp(-b*1stJan_demersal_biomass))
0.02,parameter_b_in_Pundersize_QUOTA = a*exp(-b*1stJan_demersal_biomass))
0,SWITCH_(0=use_internally_derived_density_dependent_undersize fraction/1=reduce_Dfharvestratio_to_match_no_undersize_catch)
1,SWITCH_(0=use_internally_derived_density_dependent_demersal_discard_rates/1=use_values_from_parameter_file)
0.05,Seabed_penetration_depth_of_gears_(m)
0.2,Mortality_inflicted_per_seabed_contact_trawl_pass_on_filter/deposit_feeding_benthos
0.2,Mortality_inflicted_per_seabed_contact_trawl_pass_on_carnivore/scavenge_feeding_benthos
0.16965639,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Pelagic_fish
0.09247794,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Demersal_fish
0.411909856,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Migratory_fish
9.39385193,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Filter/deposit_feeding_benthos
175.5759099,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Carnivore/scavenge_feeding_benthos
8.522561585,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Carnivorous_zooplankton
291.9823785,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Birds
2.337430206,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Seals
0.885326138,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Cetaceans
0.005562476,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Kelp
0.1,Offal_as_proportion_of_live_weight_of_fish_and_shellfish
