"Gear_name","Gear_code","Activity_.s.m2.d.","Plough_rate_.m2.s."
"midwater trawl","MWT",4.01760087735431e-11,0
"nets including small scale","NTS",1.8299844411653e-05,0
"pole and line","TPL",1.72996184555598e-05,0
"squid jig","SJ",6.07661839136575e-07,0
"longline","LL",3.56188789386738e-06,0
"purse seine","PS",2.26310314407574e-07,0
"demersal trawl","DMT",4.12070964588641e-06,17.1
"WC Rock Lobster traps","WCRLT",3.88125423496797e-06,0
"recreational fishing gear","RFG",0.0012797408258118,0
"small scale lines","SSL",0.000437992627004327,0
"subsistence fishing gear","SBF",0.000337240824211303,0
NA,NA,0,0
